"id";"year";"gip_pc";"idh";"idh_l";"idh_e";"idh_r";"area";"labor";"other_exp";"capital";"production"
"AC";1995;3.31;0.71;0.7;0.7;0.72;690152;93586;1311850.67;4488760.83;107200
"AL";1995;2.27;0.62;0.61;0.63;0.63;1709698;432104;14606142.27;24234532.47;654670
"AP";1995;5.73;0.75;0.71;0.86;0.69;264831;16660;267555.64;4036004.2;68871
"AM";1995;7.17;0.72;0.71;0.77;0.68;764274;350439;6494124.66;14496015.99;366495
"BA";1995;3.2;0.67;0.71;0.7;0.6;18379598;2508590;93182510.09;153698086.63;2102241
"CE";1995;2.82;0.65;0.68;0.66;0.6;4000980;1170724;31895468.87;35757746.78;919170
"DF";1995;11.52;0.83;0.77;0.9;0.82;162792;14307;12081175.17;13097087.45;135344
"ES";1995;6.98;0.75;0.75;0.81;0.7;2649591;351461;36687381.76;27679698.73;1082501
"GO";1995;4.17;0.74;0.75;0.8;0.67;21579549;471657;291607550.21;100683322.13;2582846
"MA";1995;1.46;0.61;0.64;0.66;0.55;6132379;1331864;20778788.44;41539573.61;698162
"MT";1995;4.26;0.74;0.73;0.81;0.68;24403806;326767;234444496.93;121700901.05;1984847
"MS";1995;5.53;0.75;0.75;0.81;0.69;23194419;202709;181532905.73;86721503.51;2181819
"MG";1995;5.77;0.76;0.76;0.81;0.69;29520738;2000046;403333416.97;155734007.9;6409086
"PA";1995;3.36;0.71;0.73;0.76;0.65;8264082;883925;28225971.36;104842126.15;1026712
"PB";1995;2.41;0.65;0.65;0.68;0.63;2492808;479987;16711409.05;11257053.8;468348
"PR";1995;6.66;0.77;0.75;0.83;0.72;11777821;1287632;643015853.1;104215333.15;5562875
"PE";1995;3.55;0.66;0.63;0.72;0.62;3363807;975288;41907521.56;33022677.1;1229492
"PI";1995;1.77;0.63;0.65;0.66;0.56;3074612;666465;17738117.13;20910159.15;342258
"RJ";1995;8.47;0.79;0.73;0.87;0.76;1882364;174274;34870982.32;5276988.89;630441
"RN";1995;2.77;0.67;0.67;0.71;0.63;1835127;332516;13773704.3;14324365.86;355930
"RS";1995;8.48;0.8;0.78;0.87;0.74;17315690;1377022;708363622.75;76728346.03;6169907
"RO";1995;3.34;0.75;0.71;0.8;0.73;3354377;304523;7150852.65;31832137.05;334211
"RR";1995;2.71;0.75;0.68;0.84;0.74;1675577;34443;1507786.52;7707068.64;62085
"SC";1995;7.37;0.79;0.78;0.86;0.74;3909330;718694;365725752.98;24093454.95;3270470
"SP";1995;10.29;0.81;0.76;0.88;0.78;14318422;914954;771108941.13;117098251.72;8412369
"SE";1995;3.33;0.68;0.68;0.74;0.61;1432721;313271;26944616.87;20697776.96;273526
"TO";1995;1.84;0.69;0.7;0.76;0.61;11345384;194221;40642354.9;49526041.63;356366
"AC";2006;4.18;0.75;0.76;0.84;0.65;99289;1210163;25738654.08;24506449.3;394760.24
"AL";2006;3.07;0.68;0.68;0.76;0.59;435163;1854195;101342421.34;178331260.26;1323943.26
"AP";2006;5.07;0.78;0.74;0.92;0.68;13131;515929;3304764.81;5277204;85673.04
"AM";2006;7.02;0.78;0.77;0.93;0.65;270687;4213583;11682075.01;34165003.93;633879.64
"BA";2006;4.11;0.74;0.77;0.83;0.62;2321905;18910940;726109598.58;628802194.09;8410289.04
"CE";2006;3.35;0.72;0.74;0.81;0.62;1143004;5097240;85885787.65;306170872.56;2233491.48
"DF";2006;22.32;0.87;0.83;0.96;0.82;22167;273760;50736072.97;19141458.17;315982.68
"ES";2006;9.05;0.8;0.8;0.89;0.71;300394;2242767;499683118.82;176733525.31;3363061.11
"GO";2006;5.91;0.8;0.8;0.89;0.71;402441;19115278;1616189942.54;786750050.58;9484810.59
"MA";2006;2.75;0.68;0.7;0.78;0.57;994144;10240240;230961545.96;426373297.65;2075573.27
"MT";2006;7.33;0.8;0.79;0.9;0.7;362895;29674784;1042835566.09;1065720021;12295853.06
"MS";2006;6.29;0.8;0.8;0.89;0.71;200829;20639055;1065067684.73;379266966.68;6108960.62
"MG";2006;6.55;0.8;0.82;0.88;0.7;1860797;27466267;3708627871.97;970628873.18;19346268.13
"PA";2006;3.7;0.75;0.77;0.86;0.63;797790;16382187;191547398.26;481973669.04;4220543.45
"PB";2006;3.27;0.72;0.72;0.79;0.64;489403;2702599;37397360.48;168753694.77;1044621.79
"PR";2006;7.81;0.82;0.81;0.91;0.74;1097438;13826058;4130842426.66;882180725.57;18071808.13
"PE";2006;3.88;0.72;0.71;0.81;0.63;955454;7115582;101795772.5;289576727.62;2977304.31
"PI";2006;2.5;0.7;0.72;0.78;0.61;830812;4425518;110279340.83;201707166.2;844954.03
"RJ";2006;10.5;0.83;0.79;0.94;0.76;157492;2209964;77210659.76;14203288.82;1153629.87
"RN";2006;4.01;0.74;0.75;0.81;0.66;247204;2447756;65647122.06;156299201.9;1067117.67
"RS";2006;8.5;0.83;0.83;0.92;0.75;1219510;16194072;3911968740.16;1102964787.25;17626219.02
"RO";2006;4.98;0.78;0.76;0.88;0.69;276983;5577725;149260568.21;92194018.91;2097252.56
"RR";2006;5.39;0.75;0.74;0.88;0.63;30061;1035003;7866121.52;29416293.83;169936.48
"SC";2006;9.28;0.84;0.83;0.93;0.76;567526;6439073;2076046162.27;525304404.94;8784919.08
"SP";2006;11.6;0.83;0.81;0.92;0.77;873087;16048789;4061247377.77;875023723.45;27815882.6
"SE";2006;4.49;0.74;0.76;0.83;0.64;269717;2069142;52008093.9;152157374.86;794795.98
"TO";2006;4.28;0.76;0.76;0.86;0.65;175405;11102730;225277784.78;157718618.59;1539652.98
